"Timestamp","Na jakie polecenia głosowe powinny reagować poniższe przyciski?","","","","","","Jak sterował(a)byś paskiem postępu utworu?","Jakich komend użył(a)byś do sterowania głośnością?","Jakich poleceń użył(a)byś do wyszukania/zmiany piosenki?","Sugestie dodatkowych poleceń:"
"2018/11/24 7:34:43 PM CET","Stop","","Poprzedni utwór","Następny utwór","Pętla","Losowo","Przewiń","Głośniej/ciszej","Szukaj/Zmień",""
"2018/11/24 7:35:50 PM CET","zatrzymaj","","do tylu","do przodu","powtórz","losowo","przewiń o (np) 5 sekund","głośniej/ciszej","włącz .... (tu tytul i wykonawca)","mozna by bylo powiedziec/zaspiewac kawalek i by znajdowalo piosenke"
"2018/11/24 7:36:41 PM CET","Zatrzymaj","","Poprzednia","Następna","Powtarzaj","Wymieszaj","Przewiń na początek","ścisz, ciszej, podgłośnij, głosniej,","znajdź/wyszukaj NAZWA
zmień na NAZWA",""
"2018/11/24 7:46:25 PM CET","stop, pauza, przerwij","","wstecz, poprzedni","dalej, następny, kolejny","powtarzaj ","losuj","plus","głośniej, ciszej","szukaj, pokaż",""
"2018/11/24 7:49:38 PM CET","Pauza","","Poprzednia piosenka, ew. Przytrzymany - cofnięcie piosenki ","Następna piosenka, przytrzymany- przesunięcie piosenki do przodu ","Powtarzanie- naciśniesz raz  to będzie się powtarzało caly czas, dwq razy- tylko raz","Odtwarzanie losowe","Przytrzymać kropkę i przesuwać- jak suwak","Plus minus","Tych jak wyżej, a do wyszukania - search bar ","Powtarzanie pojedynczej piosenki "
"2018/11/24 7:59:38 PM CET","pauza, stop, wstrzymaj [odtwarzanie], zapauzuj, spauzuj, zatrzymaj","","poprzedni utwór, wróć do poprzedniego utworu","następny utwór, pomiń, pomiń utwór, następna piosenka, pomiń piosenkę","odtwarzaj w pętli, zapętl","","przesuń [x sekund] do przodu/wstecz, odtwarzaj od x","zgłośnij, zcisz, przycisz, przygłośnij, podgłośnij, ustaw głośność na x, wycisz","wyszukaj x, zmień utwór na x, odtwarzaj x, odtwórz x","dodaj utwór do playlisty/ulubionych (aktualnie odtwarzany)"
"2018/11/24 8:36:08 PM CET","Odtwarzaj, stop ","","Cofnij ","Następny ","W pętli ","Losowo","Przewiń do przodu, do tyłu ","Ciszej, głośniej ","Szukaj ",""
"2018/11/24 8:41:02 PM CET","Pauza utworu","","Poprzedni utwór","Następny utwór","Zapętlenie","Losowe odtwarzanie","Przeciągałabym kropkę","Przeciąganie","Lupy",""
"2018/11/24 8:42:56 PM CET","Stop","","Poprzedni","Następny ","","","Cofnij o ileś sekund, przewiń o ileś sekund ","Ścisz/podglosnij  o 2 paski ","Wyszukaj/zmień na„tytuł piosenki” ",""
"2018/11/24 9:02:19 PM CET","Stop, pauza","Graj, go","Cofnij, do tyłu","dalej","Powtórz, koło","świderek, naprzemian","Przesuń dalej","Wyżej, głośniej, ciszej, w dół","Szukaj",""
